酒店福州职业技术学院	福州职业技术学院
广州 长隆 酒店	广州长隆酒店
海螺沟牛背山三日游	甘孜藏族自治州甘孜海螺沟蜀渝香客栈 
河北承德避暑山庄门票	承德火车站避暑山庄高端公寓二店
青山关长城	青山关
廊坊北到北京站	北京站街
石竹山庄	福清石竹山风景名胜区
入驻	郴州高层电梯智能入住公寓
大行宫地铁站附近的酒店	大行宫(地铁站)
北京机场空港新悦商务酒店	北京空港世纪商务精选酒店首都机场店
深圳较场尾海滩整栋	较场尾路
大连漫海听涛酒店	大连漫海听涛精品酒店(星海广场店)
蒸湘华美达	衡阳蒸湘华美达酒店
宋城千古情门票杭州	宋城
77	正定77快捷酒店
蓝精灵亲子	蓝精灵乐园·世茂精灵之城主题乐园
入驻	新合村入驻企业服务管理中心
安吉云邸·竹海清居	安吉云邸·竹海清居
成都金牛区金府路附近的酒店	金府路6号小区(金府路)
成都龙千禧酒店	成都千喜精品公寓
皇冠假日酒店	百色皇冠假日商务酒店
广西北海银海区万达广场	北海私家小筑丽水南珠店特色民宿(广东路万达广场分店)
珠海市珠海长隆海洋王国酒店	长隆海洋王国-企鹅馆
千岛湖 骑行	千岛湖巨网捕鱼
永泰欧乐堡海洋世界门票	濮阳海洋馆
济南市高新区舜华路2000号舜泰广场	舜泰广场
hitel酒店	西安天台大酒店
成都人民医院	成都市第一人民医院
二医院	大通县第二人民医院
天台山客栈	邛崃市-天台山
冠豸山到安阳的	石门湖/冠豸山景区商圈
中融	中融商务公馆
泸沽湖津云	泸沽湖国家级风景名胜区
安吉报福溪盼	恬·野轻奢溪畔度假亲子山野观景美墅（深溪峡谷漂流店）
天目湖涵谷民宿	溧阳天目湖宾馆
优美镇民宿如美镇	如美温泉大酒店
干将路斐慢酒店	干将东路
达州宣汉八仙楼时尚酒店	宣汉新辉酒店(宣汉新汽车站店)
qq音乐	成都音乐百花谷
dd主题公寓	广州梦幻主题公寓
深圳世界之窗元旦	蛇口线世界之窗
新联大酒店	兰博大酒店
黄山光明顶帐篷	黄山光明顶山庄
亚龙湾，海底世界	亚龙湾沙滩
拉萨堆龙	堆龙德庆区
武安汉庭酒店	汉庭武汉江汉路步行街酒店
观音桥华美达安可酒店	观音桥
桔子水晶南京奥体cbd	桔子水晶南京奥体CBD国际博览中心酒店
天台山客栈	天台山镇
碧水湾从化温泉酒店	从化碧水湾温泉度假村
知识城纳米酒店	中新广州知识城
全季上海莘庄酒店	全季广州天河北路酒店
大理锦江之心酒店	锦江之星风尚酒店（大理古城景区店）
辽宁葫芦岛	葫芦岛金戈岁月公寓
昆明七彩云南湿地公园	七彩云南·古滇王国文化旅游名城
南平武夷山风景名胜区一日游	武夷山景区内
西南民族大学附近	西南民族大学(航空港校区)
金牛湖野营	南京金牛湖风景区
蔚县小五台山门票	小五台山金河景区
